"film_id","title","rental_rate"
231,"Dinosaur Secretary","2.99"
232,"Dirty Ace","2.99"
234,"Disturbing Scarface","2.99"
235,"Divide Monster","2.99"
236,"Divine Resurrection","2.99"
237,"Divorce Shining","2.99"
238,"Doctor Grail","2.99"
240,"Dolls Rage","2.99"
252,"Dream Pickup","2.99"
254,"Driver Annie","2.99"
259,"Duck Racer","2.99"
264,"Dwarfs Alter","2.99"
274,"Egg Igby","2.99"
286,"Enough Raging","2.99"
288,"Escape Metropolis","2.99"
293,"Exorcist Sting","2.99"
296,"Express Lonely","2.99"
297,"Extraordinary Conquerer","2.99"
298,"Eyes Driving","2.99"
302,"Fantasia Park","2.99"
304,"Fargo Gandhi","2.99"
305,"Fatal Haunted","2.99"
308,"Ferris Mother","2.99"
319,"Fish Opus","2.99"
322,"Flatliners Killer","2.99"
325,"Floats Garden","2.99"
326,"Flying Hook","2.99"
328,"Forever Candidate","2.99"
329,"Forrest Sons","2.99"
331,"Forward Temple","2.99"
333,"Freaky Pocus","2.99"
337,"Frida Slipper","2.99"
343,"Full Flatliners","2.99"
349,"Gangs Pride","2.99"
351,"Gaslight Crusade","2.99"
353,"Gentlemen Stage","2.99"
356,"Giant Troopers","2.99"
361,"Gleaming Jawbreaker","2.99"
362,"Glory Tracy","2.99"
364,"Godfather Diary","2.99"
368,"Gone Trouble","2.99"
370,"Gorgeous Bingo","2.99"
373,"Graduate Lord","2.99"
375,"Grail Frankenstein","2.99"
378,"Greatest North","2.99"
380,"Greek Everyone","2.99"
389,"Gunfighter Mussolini","2.99"
391,"Half Outfield","2.99"
393,"Halloween Nuts","2.99"
394,"Hamlet Wisdom","2.99"
449,"Identity Lover","2.99"
397,"Hanky October","2.99"
399,"Happiness United","2.99"
400,"Hardly Robbers","2.99"
410,"Heaven Freedom","2.99"
413,"Hedwig Alter","2.99"
414,"Hellfighters Sierra","2.99"
415,"High Encino","2.99"
419,"Hocus Frida","2.99"
428,"Homicide Peach","2.99"
450,"Idols Snatchers","2.99"
431,"Hoosiers Birdcage","2.99"
432,"Hope Tootsie","2.99"
433,"Horn Working","2.99"
437,"House Dynamite","2.99"
438,"Human Graffiti","2.99"
441,"Hunter Alter","2.99"
442,"Hunting Musketeers","2.99"
443,"Hurricane Affair","2.99"
445,"Hyde Doctor","2.99"
447,"Ice Crossing","2.99"
448,"Idaho Love","2.99"
453,"Image Princess","2.99"
462,"Insider Arizona","2.99"
463,"Instinct Airport","2.99"
464,"Intentions Empire","2.99"
468,"Invasion Cyclone","2.99"
471,"Island Exorcist","2.99"
473,"Jacket Frisco","2.99"
474,"Jade Bunch","2.99"
476,"Jason Trap","2.99"
478,"Jaws Harry","2.99"
480,"Jeepers Wedding","2.99"
481,"Jekyll Frogmen","2.99"
483,"Jericho Mulan","2.99"
484,"Jerk Paycheck","2.99"
490,"Jumanji Blade","2.99"
495,"Kentuckian Giant","2.99"
498,"Killer Innocent","2.99"
502,"Knock Warlock","2.99"
503,"Kramer Chocolate","2.99"
505,"Labyrinth League","2.99"
513,"Leathernecks Dwarfs","2.99"
514,"Lebowski Soldiers","2.99"
519,"Liberty Magnificent","2.99"
520,"License Weekend","2.99"
522,"Life Twisted","2.99"
526,"Lock Rear","2.99"
528,"Lolita World","2.99"
529,"Lonely Elephant","2.99"
530,"Lord Arizona","2.99"
533,"Lost Bird","2.99"
536,"Lovely Jingle","2.99"
537,"Lover Truman","2.99"
539,"Luck Opus","2.99"
540,"Lucky Flying","2.99"
541,"Luke Mummy","2.99"
561,"Mask Peach","2.99"
542,"Lust Lock","2.99"
544,"Madison Trap","2.99"
546,"Madre Gables","2.99"
548,"Magnificent Chitty","2.99"
550,"Maguire Apache","2.99"
554,"Malkovich Pet","2.99"
557,"Manchurian Curtain","2.99"
558,"Mannequin Worst","2.99"
559,"Married Go","2.99"
564,"Massage Image","2.99"
567,"Meet Chocolate","2.99"
569,"Menagerie Rushmore","2.99"
571,"Metal Armageddon","2.99"
572,"Metropolis Coma","2.99"
573,"Microcosmos Paradise","2.99"
576,"Mighty Luck","2.99"
582,"Miracle Virtual","2.99"
584,"Mixed Doors","2.99"
590,"Money Harold","2.99"
592,"Monster Spartacus","2.99"
605,"Mulholland Beast","2.99"
608,"Murder Antitrust","2.99"
609,"Muscle Bright","2.99"
612,"Mussolini Spoilers","2.99"
615,"Nash Chocolat","2.99"
616,"National Story","2.99"
620,"Nemo Campus","2.99"
621,"Network Peak","2.99"
626,"Noon Papi","2.99"
628,"Northwest Polish","2.99"
638,"Operation Operation","2.99"
642,"Order Betrayed","2.99"
643,"Orient Closer","2.99"
644,"Oscar Gold","2.99"
645,"Others Soup","2.99"
649,"Oz Liaisons","2.99"
657,"Paradise Sabrina","2.99"
658,"Paris Weekend","2.99"
660,"Party Knock","2.99"
664,"Patriot Roman","2.99"
665,"Patton Interview","2.99"
667,"Peach Innocent","2.99"
669,"Pearl Destiny","2.99"
672,"Perfect Groove","2.99"
675,"Phantom Glory","2.99"
678,"Pickup Driving","2.99"
679,"Pilot Hoosiers","2.99"
684,"Pizza Jumanji","2.99"
689,"Pollock Deliverance","2.99"
690,"Pond Seattle","2.99"
692,"Potluck Mixed","2.99"
693,"Potter Connecticut","2.99"
698,"Princess Giant","2.99"
700,"Prix Undefeated","2.99"
701,"Psycho Shrunk","2.99"
702,"Pulp Beverly","2.99"
704,"Pure Runner","2.99"
705,"Purple Movie","2.99"
707,"Quest Mussolini","2.99"
709,"Racer Egg","2.99"
714,"Random Go","2.99"
716,"Reap Unfaithful","2.99"
720,"Redemption Comforts","2.99"
723,"Reign Gentlemen","2.99"
724,"Remember Diary","2.99"
726,"Reservoir Adaptation","2.99"
729,"Rider Caddyshack","2.99"
735,"Robbers Joon","2.99"
740,"Rollercoaster Bringing","2.99"
754,"Rushmore Mermaid","2.99"
756,"Saddle Antitrust","2.99"
757,"Sagebrush Clueless","2.99"
758,"Saints Bride","2.99"
759,"Salute Apollo","2.99"
760,"Samurai Lion","2.99"
761,"Santa Paris","2.99"
770,"Scissorhands Slums","2.99"
788,"Ship Wonderland","2.99"
772,"Sea Virgin","2.99"
773,"Seabiscuit Punk","2.99"
774,"Searchers Wait","2.99"
782,"Shakespeare Saddle","2.99"
783,"Shane Darkness","2.99"
784,"Shanghai Tycoon","2.99"
789,"Shock Cabin","2.99"
792,"Shrek License","2.99"
793,"Shrunk Divine","2.99"
800,"Sinners Atlantis","2.99"
802,"Sky Miracle","2.99"
806,"Sleepy Japanese","2.99"
811,"Smile Earring","2.99"
815,"Snatchers Montezuma","2.99"
820,"Sons Interview","2.99"
823,"South Wait","2.99"
825,"Speakeasy Date","2.99"
828,"Spiking Element","2.99"
829,"Spinal Rocky","2.99"
835,"Spy Mile","2.99"
836,"Squad Fish","2.99"
837,"Stage World","2.99"
841,"Star Operation","2.99"
842,"State Wasteland","2.99"
847,"Stock Glass","2.99"
857,"Strictly Scarface","2.99"
869,"Suspects Quills","2.99"
872,"Sweet Brotherhood","2.99"
874,"Tadpole Park","2.99"
876,"Tarzan Videotape","2.99"
880,"Telemark Heartbreakers","2.99"
895,"Tomorrow Hustler","2.99"
900,"Town Ark","2.99"
912,"Trojan Tomorrow","2.99"
914,"Trouble Date","2.99"
916,"Turn Star","2.99"
917,"Tuxedo Mile","2.99"
921,"Uncut Suicides","2.99"
923,"Unfaithful Kill","2.99"
926,"Untouchables Sunrise","2.99"
927,"Uprising Uptown","2.99"
928,"Uptown Young","2.99"
930,"Vacation Boondock","2.99"
936,"Vanishing Rocky","2.99"
937,"Varsity Trip","2.99"
939,"Vertigo Northwest","2.99"
952,"Wagon Jaws","2.99"
958,"Wardrobe Phantom","2.99"
959,"Warlock Werewolf","2.99"
960,"Wars Pluto","2.99"
962,"Wasteland Divine","2.99"
967,"Weekend Personal","2.99"
975,"Willow Tracy","2.99"
977,"Window Side","2.99"
983,"Won Dares","2.99"
984,"Wonderful Drop","2.99"
986,"Wonka Sea","2.99"
987,"Words Hunter","2.99"
988,"Worker Tarzan","2.99"
991,"Worst Banger","2.99"
993,"Wrong Behavior","2.99"
999,"Zoolander Fiction","2.99"
