"title","rental_rate"
"Fugitive Maguire","4.99"
"Full Flatliners","2.99"
"Fury Murder","0.99"
"Gables Metropolis","0.99"
"Galaxy Sweethearts","4.99"
"Games Bowfinger","4.99"
"Gandhi Kwai","0.99"
"Gangs Pride","2.99"
"Garden Island","4.99"
"Gaslight Crusade","2.99"
"Gathering Calendar","0.99"
"Gentlemen Stage","2.99"
"Ghost Groundhog","4.99"
"Ghostbusters Elf","0.99"
"Giant Troopers","2.99"
"Gilbert Pelican","0.99"
"Gilmore Boiled","0.99"
"Gladiator Westward","4.99"
"Glass Dying","0.99"
"Gleaming Jawbreaker","2.99"
"Glory Tracy","2.99"
"Go Purple","0.99"
"Godfather Diary","2.99"
"Gold River","4.99"
"Goldfinger Sensibility","0.99"
"Goldmine Tycoon","0.99"
"Gone Trouble","2.99"
"Goodfellas Salute","4.99"
"Gorgeous Bingo","2.99"
"Gosford Donnie","4.99"
"Graceland Dynamite","4.99"
"Graduate Lord","2.99"
"Graffiti Love","0.99"
"Grail Frankenstein","2.99"
"Grapes Fury","0.99"
"Grease Youth","0.99"
"Greatest North","2.99"
"Greedy Roots","0.99"
"Greek Everyone","2.99"
"Grinch Massage","4.99"
"Grit Clockwork","0.99"
"Groove Fiction","0.99"
"Groundhog Uncut","4.99"
"Gump Date","4.99"
"Gun Bonnie","0.99"
"Gunfight Moon","0.99"
"Gunfighter Mussolini","2.99"
"Guys Falcon","4.99"
"Half Outfield","2.99"
"Hall Cassidy","4.99"
"Halloween Nuts","2.99"
"Hamlet Wisdom","2.99"
"Identity Lover","2.99"
"Handicap Boondock","0.99"
"Hanging Deep","4.99"
"Hanky October","2.99"
"Hanover Galaxy","4.99"
"Happiness United","2.99"
"Hardly Robbers","2.99"
"Harold French","0.99"
"Harper Dying","0.99"
"Harry Idaho","4.99"
"Hate Handicap","0.99"
"Haunted Antitrust","4.99"
"Haunting Pianist","0.99"
"Heartbreakers Bright","4.99"
"Heaven Freedom","2.99"
"Heavenly Gun","4.99"
"Heavyweights Beast","4.99"
"Hedwig Alter","2.99"
"Hellfighters Sierra","2.99"
"High Encino","2.99"
"Highball Potter","0.99"
"Hills Neighbors","0.99"
"Hobbit Alien","0.99"
"Hocus Frida","2.99"
"Holes Brannigan","4.99"
"Holiday Games","4.99"
"Hollow Jeopardy","4.99"
"Hollywood Anonymous","0.99"
"Holocaust Highball","0.99"
"Holy Tadpole","0.99"
"Home Pity","4.99"
"Homeward Cider","0.99"
"Homicide Peach","2.99"
"Honey Ties","0.99"
"Hook Chariots","0.99"
"Idols Snatchers","2.99"
"Hoosiers Birdcage","2.99"
"Hope Tootsie","2.99"
"Horn Working","2.99"
"Horror Reign","0.99"
"Hotel Happiness","4.99"
"Hours Rage","0.99"
"House Dynamite","2.99"
"Human Graffiti","2.99"
"Hunchback Impossible","4.99"
"Hunger Roof","0.99"
"Hunter Alter","2.99"
"Hunting Musketeers","2.99"
"Hurricane Affair","2.99"
"Hustler Party","4.99"
"Hyde Doctor","2.99"
"Hysterical Grail","4.99"
"Ice Crossing","2.99"
"Idaho Love","2.99"
"Igby Maker","4.99"
"Illusion Amelie","0.99"
"Image Princess","2.99"
"Impact Aladdin","0.99"
"Impossible Prejudice","4.99"
"Inch Jet","4.99"
"Independence Hotel","0.99"
"Indian Love","0.99"
"Informer Double","4.99"
"Innocent Usual","4.99"
"Insects Stone","0.99"
"Insider Arizona","2.99"
"Instinct Airport","2.99"
"Intentions Empire","2.99"
"Interview Liaisons","4.99"
"Intolerable Intentions","4.99"
"Intrigue Worst","0.99"
"Invasion Cyclone","2.99"
"Iron Moon","4.99"
"Ishtar Rocketeer","4.99"
"Island Exorcist","2.99"
"Italian African","4.99"
"Jacket Frisco","2.99"
"Jade Bunch","2.99"
"Japanese Run","0.99"
"Jason Trap","2.99"
"Jawbreaker Brooklyn","0.99"
"Jaws Harry","2.99"
"Jedi Beneath","0.99"
"Jeepers Wedding","2.99"
"Jekyll Frogmen","2.99"
"Jeopardy Encino","0.99"
"Jericho Mulan","2.99"
"Jerk Paycheck","2.99"
"Jersey Sassy","4.99"
"Jet Neighbors","4.99"
"Jingle Sagebrush","4.99"
"Joon Northwest","0.99"
"Juggler Hardly","0.99"
"Jumanji Blade","2.99"
"Jumping Wrath","0.99"
"Jungle Closer","0.99"
"Kane Exorcist","0.99"
"Karate Moon","0.99"
"Kentuckian Giant","2.99"
"Kick Savannah","0.99"
"Kill Brotherhood","0.99"
"Killer Innocent","2.99"
"King Evolution","4.99"
"Kiss Glory","4.99"
"Kissing Dolls","4.99"
"Knock Warlock","2.99"
"Kramer Chocolate","2.99"
"Kwai Homeward","0.99"
"Labyrinth League","2.99"
"Lady Stage","4.99"
"Ladybugs Armageddon","0.99"
"Lambs Cincinatti","4.99"
"Language Cowboy","0.99"
"Lawless Vision","4.99"
"Lawrence Love","0.99"
"League Hellfighters","4.99"
"Leathernecks Dwarfs","2.99"
"Lebowski Soldiers","2.99"
"Legally Secretary","4.99"
"Legend Jedi","0.99"
"Lesson Cleopatra","0.99"
"Liaisons Sweet","4.99"
"Liberty Magnificent","2.99"
"License Weekend","2.99"
"Lies Treatment","4.99"
"Life Twisted","2.99"
"Lights Deer","0.99"
"Mars Roman","0.99"
"Lion Uncut","0.99"
"Loathing Legally","0.99"
"Lock Rear","2.99"
"Lola Agent","4.99"
"Lolita World","2.99"
"Lonely Elephant","2.99"
"Lord Arizona","2.99"
"Lose Inch","0.99"
"Loser Hustler","4.99"
"Lost Bird","2.99"
"Louisiana Harry","0.99"
"Love Suicides","0.99"
"Lovely Jingle","2.99"
"Lover Truman","2.99"
"Loverboy Attacks","0.99"
"Luck Opus","2.99"
"Lucky Flying","2.99"
"Luke Mummy","2.99"
"Mask Peach","2.99"
"Lust Lock","2.99"
"Madigan Dorado","4.99"
"Madison Trap","2.99"
"Madness Attacks","0.99"
"Madre Gables","2.99"
"Magic Mallrats","0.99"
"Magnificent Chitty","2.99"
"Magnolia Forrester","0.99"
"Maguire Apache","2.99"
"Maiden Home","4.99"
"Majestic Floats","0.99"
"Maker Gables","0.99"
"Malkovich Pet","2.99"
"Mallrats United","0.99"
"Maltese Hope","4.99"
"Manchurian Curtain","2.99"
"Mannequin Worst","2.99"
"Married Go","2.99"
"Masked Bubble","0.99"
"Massacre Usual","4.99"
"Massage Image","2.99"
"Matrix Snowman","4.99"
"Maude Mod","0.99"
"Meet Chocolate","2.99"
"Memento Zoolander","4.99"
"Menagerie Rushmore","2.99"
"Mermaid Insects","4.99"
"Metal Armageddon","2.99"
"Metropolis Coma","2.99"
"Microcosmos Paradise","2.99"
"Midnight Westward","0.99"
"Midsummer Groundhog","4.99"
"Mighty Luck","2.99"
"Mile Mulan","0.99"
"Million Ace","4.99"
"Minds Truman","4.99"
"Mine Titans","4.99"
"Minority Kiss","0.99"
"Miracle Virtual","2.99"
"Mission Zoolander","4.99"
"Mixed Doors","2.99"
"Mob Duffel","0.99"
"Mockingbird Hollywood","0.99"
"Mod Secretary","4.99"
"Model Fish","4.99"
"Modern Dorado","0.99"
"Money Harold","2.99"
"Monsoon Cause","4.99"
"Monster Spartacus","2.99"
"Monterey Labyrinth","0.99"
"Montezuma Command","0.99"
"Moon Bunch","0.99"
"Moonshine Cabin","4.99"
"Moonwalker Fool","4.99"
"Mosquito Armageddon","0.99"
"Mother Oleander","0.99"
"Motions Details","0.99"
"Moulin Wake","0.99"
"Mourning Purple","0.99"
"Movie Shakespeare","4.99"
"Mulan Moon","0.99"
"Mulholland Beast","2.99"
"Mummy Creatures","0.99"
"Muppet Mile","4.99"
"Murder Antitrust","2.99"
"Muscle Bright","2.99"
"Music Boondock","0.99"
"Musketeers Wait","4.99"
"Mussolini Spoilers","2.99"
"Mystic Truman","0.99"
"Name Detective","4.99"
"Nash Chocolat","2.99"
"National Story","2.99"
"Natural Stock","0.99"
"Necklace Outbreak","0.99"
"Neighbors Charade","0.99"
"Nemo Campus","2.99"
"Network Peak","2.99"
"Newsies Story","0.99"
"Newton Labyrinth","0.99"
"Nightmare Chill","4.99"
"None Spiking","0.99"
"Noon Papi","2.99"
"North Tequila","4.99"
"Northwest Polish","2.99"
"Notorious Reunion","0.99"
"Notting Speakeasy","0.99"
"Novocaine Flight","0.99"
"Nuts Ties","4.99"
"October Submarine","4.99"
"Odds Boogie","0.99"
"Oklahoma Jumanji","0.99"
"Oleander Clue","0.99"
"Open African","4.99"
"Operation Operation","2.99"
"Opposite Necklace","4.99"
"Opus Ice","4.99"
"Orange Grapes","0.99"
"Order Betrayed","2.99"
"Orient Closer","2.99"
"Oscar Gold","2.99"
"Others Soup","2.99"
"Outbreak Divine","0.99"
"Outfield Massacre","0.99"
"Outlaw Hanky","4.99"
"Oz Liaisons","2.99"
"Pacific Amistad","0.99"
"Packer Madigan","0.99"
"Pajama Jawbreaker","0.99"
"Panic Club","4.99"
"Panky Submarine","4.99"
"Panther Reds","4.99"
"Papi Necklace","0.99"
"Paradise Sabrina","2.99"
"Paris Weekend","2.99"
"Park Citizen","4.99"
"Party Knock","2.99"
"Past Suicides","4.99"
"Paths Control","4.99"
"Patient Sister","0.99"
"Patriot Roman","2.99"
"Patton Interview","2.99"
"Paycheck Wait","4.99"
"Peach Innocent","2.99"
"Peak Forever","4.99"
"Pearl Destiny","2.99"
"Pelican Comforts","4.99"
"Perdition Fargo","4.99"
"Perfect Groove","2.99"
"Personal Ladybugs","0.99"
"Pet Haunting","0.99"
"Phantom Glory","2.99"
"Philadelphia Wife","4.99"
"Pianist Outfield","0.99"
"Pickup Driving","2.99"
"Pilot Hoosiers","2.99"
"Pinocchio Simon","4.99"
"Pirates Roxanne","0.99"
"Pittsburgh Hunchback","4.99"
"Pity Bound","4.99"
"Pizza Jumanji","2.99"
"Platoon Instinct","4.99"
"Pluto Oleander","4.99"
"Pocus Pulp","0.99"
"Polish Brooklyn","0.99"
"Pollock Deliverance","2.99"
"Pond Seattle","2.99"
"Poseidon Forever","4.99"
"Potluck Mixed","2.99"
"Potter Connecticut","2.99"
"Prejudice Oleander","4.99"
"President Bang","4.99"
"Pride Alamo","0.99"
"Primary Glass","0.99"
"Princess Giant","2.99"
"Private Drop","4.99"
"Prix Undefeated","2.99"
"Psycho Shrunk","2.99"
"Pulp Beverly","2.99"
"Punk Divorce","4.99"
"Pure Runner","2.99"
"Purple Movie","2.99"
"Queen Luke","4.99"
"Quest Mussolini","2.99"
"Quills Bull","4.99"
"Racer Egg","2.99"
"Rage Games","4.99"
"Raging Airplane","4.99"
"Raiders Antitrust","0.99"
"Rainbow Shock","4.99"
"Random Go","2.99"
"Range Moonwalker","4.99"
"Reap Unfaithful","2.99"
"Rear Trading","0.99"
"Rebel Airport","0.99"
"Records Zorro","4.99"
"Redemption Comforts","2.99"
"Reds Pocus","4.99"
"Reef Salute","0.99"
"Reign Gentlemen","2.99"
"Remember Diary","2.99"
"Requiem Tycoon","4.99"
"Reservoir Adaptation","2.99"
"Resurrection Silverado","0.99"
"Reunion Witches","0.99"
"Rider Caddyshack","2.99"
"Ridgemont Submarine","0.99"
"Right Cranes","4.99"
"Rings Heartbreakers","0.99"
"River Outlaw","0.99"
"Road Roxanne","4.99"
"Robbers Joon","2.99"
"Robbery Bright","0.99"
"Rock Instinct","0.99"
"Rocketeer Mother","0.99"
"Rocky War","4.99"
"Rollercoaster Bringing","2.99"
"Roman Punk","0.99"
"Roof Champion","0.99"
"Room Roman","0.99"
"Roots Remember","0.99"
"Roses Treasure","4.99"
"Rouge Squad","0.99"
"Roxanne Rebel","0.99"
"Rugrats Shakespeare","0.99"
"Rules Human","4.99"
"Run Pacific","0.99"
"Runaway Tenenbaums","0.99"
"Runner Madigan","0.99"
"Rush Goodfellas","0.99"
"Rushmore Mermaid","2.99"
"Sabrina Midnight","4.99"
"Saddle Antitrust","2.99"
"Sagebrush Clueless","2.99"
"Saints Bride","2.99"
"Salute Apollo","2.99"
"Samurai Lion","2.99"
"Santa Paris","2.99"
"Sassy Packer","0.99"
"Satisfaction Confidential","4.99"
"Saturday Lambs","4.99"
"Saturn Name","4.99"
"Savannah Town","0.99"
"Scalawag Duck","4.99"
"Scarface Bang","4.99"
"School Jacket","4.99"
"Scissorhands Slums","2.99"
"Ship Wonderland","2.99"
"Scorpion Apollo","4.99"
"Sea Virgin","2.99"
"Seabiscuit Punk","2.99"
"Searchers Wait","2.99"
"Seattle Expecations","4.99"
"Secret Groundhog","4.99"
"Secretary Rouge","4.99"
"Secrets Paradise","4.99"
"Sense Greek","4.99"
"Sensibility Rear","4.99"
"Seven Swarm","4.99"
"Shakespeare Saddle","2.99"
"Shane Darkness","2.99"
"Shanghai Tycoon","2.99"
"Shawshank Bubble","4.99"
"Shepherd Midsummer","0.99"
"Shining Roses","0.99"
"Shock Cabin","2.99"
"Shootist Superfly","0.99"
"Show Lord","4.99"
"Shrek License","2.99"
"Shrunk Divine","2.99"
"Side Ark","0.99"
"Siege Madre","0.99"
"Sierra Divide","0.99"
"Silence Kane","0.99"
"Silverado Goldfinger","4.99"
"Simon North","0.99"
"Sinners Atlantis","2.99"
"Sister Freddy","4.99"
"Sky Miracle","2.99"
"Slacker Liaisons","4.99"
"Sleeping Suspects","4.99"
"Sleepless Monsoon","4.99"
"Sleepy Japanese","2.99"
"Sleuth Orient","0.99"
"Sling Luke","0.99"
"Slipper Fidelity","0.99"
"Slums Duck","0.99"
"Smile Earring","2.99"
"Smoking Barbarella","0.99"
"Smoochy Control","0.99"
"Snatch Slipper","4.99"
"Snatchers Montezuma","2.99"
"Snowman Rollercoaster","0.99"
"Soldiers Evolution","4.99"
"Something Duck","4.99"
"Song Hedwig","0.99"
"Sons Interview","2.99"
"Sorority Queen","0.99"
"Soup Wisdom","0.99"
"South Wait","2.99"
"Spartacus Cheaper","4.99"
"Speakeasy Date","2.99"
"Speed Suit","4.99"
"Spice Sorority","4.99"
"Spiking Element","2.99"
"Spinal Rocky","2.99"
"Spirit Flintstones","0.99"
"Spirited Casualties","0.99"
"Splash Gump","0.99"
"Splendor Patton","0.99"
"Spoilers Hellfighters","0.99"
"Spy Mile","2.99"
"Squad Fish","2.99"
"Stage World","2.99"
"Stagecoach Armageddon","4.99"
"Stallion Sundance","0.99"
"Stampede Disturbing","0.99"
"Star Operation","2.99"
"State Wasteland","2.99"
"Steel Santa","4.99"
"Steers Armageddon","4.99"
"Stepmom Dream","4.99"
"Sting Personal","4.99"
"Stock Glass","2.99"
"Stone Fire","0.99"
"Storm Happiness","0.99"
"Story Side","0.99"
"Straight Hours","0.99"
"Strangelove Desire","0.99"
"Stranger Strangers","4.99"
"Tights Dawn","0.99"
"Strangers Graffiti","4.99"
"Streak Ridgemont","0.99"
"Streetcar Intentions","4.99"
"Strictly Scarface","2.99"
"Submarine Bed","4.99"
"Sugar Wonka","4.99"
"Suicides Silence","4.99"
"Suit Walls","4.99"
"Summer Scarface","0.99"
"Sun Confessions","0.99"
"Sundance Invasion","0.99"
"Sunrise League","4.99"
"Sunset Racer","0.99"
"Super Wyoming","4.99"
"Superfly Trip","0.99"
"Suspects Quills","2.99"
"Swarm Gold","0.99"
"Sweden Shining","4.99"
"Timberland Sky","0.99"
"Sweet Brotherhood","2.99"
"Sweethearts Suspects","0.99"
"Tadpole Park","2.99"
"Talented Homicide","0.99"
"Tarzan Videotape","2.99"
"Taxi Kick","0.99"
"Teen Apollo","4.99"
"Telegraph Voyage","4.99"
"Telemark Heartbreakers","2.99"
"Temple Attraction","4.99"
"Tenenbaums Command","0.99"
"Tequila Past","4.99"
"Terminator Club","4.99"
"Texas Watch","0.99"
"Theory Mermaid","0.99"
"Thief Pelican","4.99"
"Thin Sagebrush","4.99"
"Ties Hunger","4.99"
"Titanic Boondock","4.99"
"Titans Jerk","4.99"
"Tomatoes Hellfighters","0.99"
"Tomorrow Hustler","2.99"
"Tootsie Pilot","0.99"
"Torque Bound","4.99"
"Tourist Pelican","4.99"
"Towers Hurricane","0.99"
"Town Ark","2.99"
"Tracy Cider","0.99"
"Trading Pinocchio","4.99"
"Traffic Hobbit","4.99"
"Train Bunch","4.99"
"Trainspotting Strangers","4.99"
"Tramp Others","0.99"
"Translation Summer","0.99"
"Trap Guys","4.99"
"Treasure Command","0.99"
"Treatment Jekyll","0.99"
"Trip Newton","4.99"
"Trojan Tomorrow","2.99"
"Troopers Metal","0.99"
"Trouble Date","2.99"
"Truman Crazy","4.99"
"Turn Star","2.99"
"Tuxedo Mile","2.99"
"Twisted Pirates","4.99"
"Tycoon Gathering","4.99"
"Unbreakable Karate","0.99"
"Uncut Suicides","2.99"
"Undefeated Dalmations","4.99"
"Unfaithful Kill","2.99"
"Unforgiven Zoolander","0.99"
"United Pilot","0.99"
"Untouchables Sunrise","2.99"
"Uprising Uptown","2.99"
"Uptown Young","2.99"
"Usual Untouchables","4.99"
"Vacation Boondock","2.99"
"Valentine Vanishing","0.99"
"Valley Packer","0.99"
"Vampire Whale","4.99"
"Vanilla Day","4.99"
"Vanished Garden","0.99"
"Vanishing Rocky","2.99"
"Varsity Trip","2.99"
"Velvet Terminator","4.99"
"Vertigo Northwest","2.99"
"Victory Academy","0.99"
"Videotape Arsenic","4.99"
"Vietnam Smoochy","0.99"
"Villain Desperate","4.99"
"Virgin Daisy","4.99"
"Virginian Pluto","0.99"
"Virtual Spoilers","4.99"
"Vision Torque","0.99"
"Voice Peach","0.99"
"Volcano Texas","0.99"
"Volume House","4.99"
"Voyage Legally","0.99"
"Wagon Jaws","2.99"
"Wait Cider","0.99"
"Wake Jaws","4.99"
"Walls Artist","4.99"
"Wanda Chamber","4.99"
"War Notting","4.99"
"Wardrobe Phantom","2.99"
"Warlock Werewolf","2.99"
"Wars Pluto","2.99"
"Wash Heavenly","4.99"
